ID;Scope;Level 1;Level 2;Level 3;Level 4;Column Text;UOM;GHG/Unit;GHG Conversion Factor 2024;;;
6_304_3134_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All artics;;50% Laden;miles;kWh (Net CV);5,25221;"call _emissionsRefInsert('HGV (all diesel) All artics','SECR kWh pass & delivery vehs','miles','6_304_3135_9_5');";;
6_304_3135_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All artics;;100% Laden;miles;kWh (Net CV);6,55424;"call _emissionsRefInsert('HGV (all diesel) All artics','SECR kWh pass & delivery vehs','miles','6_304_3136_9_5');";;
6_304_3136_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All artics;;Average Laden;miles;kWh (Net CV);5,70507;"call _emissionsRefInsert('HGV (all diesel) All artics','SECR kWh pass & delivery vehs','tonne.km','6_304_3137_14_5');";;
6_304_3137_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','tonne.km','6_304_3138_14_5');";;
6_304_3138_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;50% Laden;tonne.km;kWh (Net CV);0,46729;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','tonne.km','6_304_3139_14_5');";;
6_304_3139_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;100% Laden;tonne.km;kWh (Net CV);0,28445;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','tonne.km','6_304_3140_14_5');";;
6_304_3140_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;Average Laden;tonne.km;kWh (Net CV);0,38194;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','km','6_304_3137_4_5');";;
6_304_3137_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;0% Laden;km;kWh (Net CV);2,51355;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','km','6_304_3138_4_5');";;
6_304_3138_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;50% Laden;km;kWh (Net CV);3,19476;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','km','6_304_3139_4_5');";;
6_304_3139_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;100% Laden;km;kWh (Net CV);3,87596;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','km','6_304_3140_4_5');";;
6_304_3140_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;Average Laden;km;kWh (Net CV);3,42464;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','miles','6_304_3137_9_5');";;
6_304_3137_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;0% Laden;miles;kWh (Net CV);4,04517;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','miles','6_304_3138_9_5');";;
6_304_3138_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;50% Laden;miles;kWh (Net CV);5,14146;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','miles','6_304_3139_9_5');";;
6_304_3139_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;100% Laden;miles;kWh (Net CV);6,23775;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','miles','6_304_3140_9_5');";;
6_304_3140_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV (all diesel);All HGVs;;Average Laden;miles;kWh (Net CV);5,51143;"call _emissionsRefInsert('HGV (all diesel) All HGVs','SECR kWh pass & delivery vehs','tonne.km','6_306_3109_14_5');";;
6_306_3109_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3110_14_5');";;
6_306_3110_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;50% Laden;tonne.km;kWh (Net CV);2,06536;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3111_14_5');";;
6_306_3111_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;100% Laden;tonne.km;kWh (Net CV);1,11529;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3112_14_5');";;
6_306_3112_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;Average Laden;tonne.km;kWh (Net CV);2,37468;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3109_4_5');";;
6_306_3109_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;0% Laden;km;kWh (Net CV);2,12958;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3110_4_5');";;
6_306_3110_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;50% Laden;km;kWh (Net CV);2,31476;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3111_4_5');";;
6_306_3111_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;100% Laden;km;kWh (Net CV);2,49994;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3112_4_5');";;
6_306_3112_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;Average Laden;km;kWh (Net CV);2,28884;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3109_9_5');";;
6_306_3109_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;0% Laden;miles;kWh (Net CV);3,42723;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3110_9_5');";;
6_306_3110_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;50% Laden;miles;kWh (Net CV);3,72525;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3111_9_5');";;
6_306_3111_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;100% Laden;miles;kWh (Net CV);4,02327;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3112_9_5');";;
6_306_3112_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>3.5 - 7.5 tonnes);;Average Laden;miles;kWh (Net CV);3,68353;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3113_14_5');";;
6_306_3113_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3114_14_5');";;
6_306_3114_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;50% Laden;tonne.km;kWh (Net CV);1,23091;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3115_14_5');";;
6_306_3115_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;100% Laden;tonne.km;kWh (Net CV);0,69239;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3116_14_5');";;
6_306_3116_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;Average Laden;tonne.km;kWh (Net CV);1,78575;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3113_4_5');";;
6_306_3113_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;0% Laden;km;kWh (Net CV);2,55076;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3114_4_5');";;
6_306_3114_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;50% Laden;km;kWh (Net CV);2,91516;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3115_4_5');";;
6_306_3115_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;100% Laden;km;kWh (Net CV);3,27955;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3116_4_5');";;
6_306_3116_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;Average Laden;km;kWh (Net CV);2,79126;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3113_9_5');";;
6_306_3113_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;0% Laden;miles;kWh (Net CV);4,10506;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3114_9_5');";;
6_306_3114_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;50% Laden;miles;kWh (Net CV);4,69149;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3115_9_5');";;
6_306_3115_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;100% Laden;miles;kWh (Net CV);5,27793;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3116_9_5');";;
6_306_3116_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>7.5 tonnes-17 tonnes);;Average Laden;miles;kWh (Net CV);4,49210;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3117_14_5');";;
6_306_3117_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3118_14_5');";;
6_306_3118_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;50% Laden;tonne.km;kWh (Net CV);0,94216;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3119_14_5');";;
6_306_3119_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;100% Laden;tonne.km;kWh (Net CV);0,55588;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3120_14_5');";;
6_306_3120_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;Average Laden;tonne.km;kWh (Net CV);0,72146;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3117_4_5');";;
6_306_3117_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;0% Laden;km;kWh (Net CV);3,50948;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3118_4_5');";;
6_306_3118_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;50% Laden;km;kWh (Net CV);4,27985;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3119_4_5');";;
6_306_3119_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;100% Laden;km;kWh (Net CV);5,05023;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','km','6_306_3120_4_5');";;
6_306_3120_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;Average Laden;km;kWh (Net CV);4,58794;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3117_9_5');";;
6_306_3117_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;0% Laden;miles;kWh (Net CV);5,64796;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3118_9_5');";;
6_306_3118_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;50% Laden;miles;kWh (Net CV);6,88776;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3119_9_5');";;
6_306_3119_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;100% Laden;miles;kWh (Net CV);8,12755;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','miles','6_306_3120_9_5');";;
6_306_3120_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Rigid (>17 tonnes);;Average Laden;miles;kWh (Net CV);7,38358;"call _emissionsRefInsert('HGV refrigerated (all diesel) Rigid (>17 tonnes)','SECR kWh pass & delivery vehs','tonne.km','6_306_3121_14_5');";;
6_306_3121_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','tonne.km','6_306_3122_14_5');";;
6_306_3122_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;50% Laden;tonne.km;kWh (Net CV);1,00464;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','tonne.km','6_306_3123_14_5');";;
6_306_3123_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;100% Laden;tonne.km;kWh (Net CV);0,58673;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','tonne.km','6_306_3124_14_5');";;
6_306_3124_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;Average Laden;tonne.km;kWh (Net CV);0,83668;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','km','6_306_3121_4_5');";;
6_306_3121_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;0% Laden;km;kWh (Net CV);3,09860;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','km','6_306_3122_4_5');";;
6_306_3122_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;50% Laden;km;kWh (Net CV);3,69479;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','km','6_306_3123_4_5');";;
6_306_3123_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;100% Laden;km;kWh (Net CV);4,29097;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','km','6_306_3124_4_5');";;
6_306_3124_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;Average Laden;km;kWh (Net CV);3,88182;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','miles','6_306_3121_9_5');";;
6_306_3121_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;0% Laden;miles;kWh (Net CV);4,98671;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','miles','6_306_3122_9_5');";;
6_306_3122_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;50% Laden;miles;kWh (Net CV);5,94618;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','miles','6_306_3123_9_5');";;
6_306_3123_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;100% Laden;miles;kWh (Net CV);6,90565;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','miles','6_306_3124_9_5');";;
6_306_3124_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All rigids;;Average Laden;miles;kWh (Net CV);6,24719;"call _emissionsRefInsert('HGV refrigerated (all diesel) All rigids','SECR kWh pass & delivery vehs','tonne.km','6_306_3125_14_5');";;
6_306_3125_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3126_14_5');";;
6_306_3126_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;50% Laden;tonne.km;kWh (Net CV);0,51275;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3127_14_5');";;
6_306_3127_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;100% Laden;tonne.km;kWh (Net CV);0,30765;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3128_14_5');";;
6_306_3128_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;Average Laden;tonne.km;kWh (Net CV);0,51275;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','km','6_306_3125_4_5');";;
6_306_3125_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;0% Laden;km;kWh (Net CV);2,78433;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','km','6_306_3126_4_5');";;
6_306_3126_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;50% Laden;km;kWh (Net CV);3,48041;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','km','6_306_3127_4_5');";;
6_306_3127_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;100% Laden;km;kWh (Net CV);4,17649;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','km','6_306_3128_4_5');";;
6_306_3128_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;Average Laden;km;kWh (Net CV);3,48041;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','miles','6_306_3125_9_5');";;
6_306_3125_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;0% Laden;miles;kWh (Net CV);4,48094;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','miles','6_306_3126_9_5');";;
6_306_3126_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;50% Laden;miles;kWh (Net CV);5,60118;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','miles','6_306_3127_9_5');";;
6_306_3127_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;100% Laden;miles;kWh (Net CV);6,72141;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','miles','6_306_3128_9_5');";;
6_306_3128_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>3.5 - 33t);;Average Laden;miles;kWh (Net CV);5,60118;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>3.5 - 33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3129_14_5');";;
6_306_3129_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3130_14_5');";;
6_306_3130_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;50% Laden;tonne.km;kWh (Net CV);0,42129;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3131_14_5');";;
6_306_3131_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;100% Laden;tonne.km;kWh (Net CV);0,26331;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3132_14_5');";;
6_306_3132_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;Average Laden;tonne.km;kWh (Net CV);0,33765;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','km','6_306_3129_4_5');";;
6_306_3129_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;0% Laden;km;kWh (Net CV);2,84948;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','km','6_306_3130_4_5');";;
6_306_3130_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;50% Laden;km;kWh (Net CV);3,79931;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','km','6_306_3131_4_5');";;
6_306_3131_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;100% Laden;km;kWh (Net CV);4,74914;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','km','6_306_3132_4_5');";;
6_306_3132_4_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;Average Laden;km;kWh (Net CV);4,14125;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','miles','6_306_3129_9_5');";;
6_306_3129_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;0% Laden;miles;kWh (Net CV);4,58580;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','miles','6_306_3130_9_5');";;
6_306_3130_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;50% Laden;miles;kWh (Net CV);6,11440;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','miles','6_306_3131_9_5');";;
6_306_3131_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;100% Laden;miles;kWh (Net CV);7,64300;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','miles','6_306_3132_9_5');";;
6_306_3132_9_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);Articulated (>33t);;Average Laden;miles;kWh (Net CV);6,66469;"call _emissionsRefInsert('HGV refrigerated (all diesel) Articulated (>33t)','SECR kWh pass & delivery vehs','tonne.km','6_306_3133_14_5');";;
6_306_3133_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All artics;;0% Laden;tonne.km;kWh (Net CV);;"call _emissionsRefInsert('HGV refrigerated (all diesel) All artics','SECR kWh pass & delivery vehs','tonne.km','6_306_3134_14_5');";;
6_306_3134_14_5;Scope 1;SECR kWh pass & delivery vehs;HGV refrigerated (all diesel);All artics;;50% Laden;tonne.km;kWh (Net CV);0,42365;"call _emissionsRefInsert('HGV refrigerated (all diesel) All artics','SECR kWh pass & delivery vehs','tonne.km','6_306_3135_14_5');";;
