ID;Scope;Level 1;Level 2;Level 3;Level 4;Column Text;UOM;GHG/Unit;GHG Conversion Factor 2024;;;
1_100_1001_7_3;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00031;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Net CV)','1_100_1001_7_4');";;
1_100_1001_7_4;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_1');";;
1_100_1001_6_1;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kgCO2e;0,18290;"call _emissionsRefInsert('Fuels','Gaseous fuels','CNG','kWh (Gross CV)','kgCO2e','Scope 1','0,1829', '1_100_1001_6_1');";;
1_100_1001_6_2;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18253;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_3');";;
1_100_1001_6_3;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00028;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','kWh (Gross CV)','1_100_1001_6_4');";;
1_100_1001_6_4;Scope 1;Fuels;Gaseous fuels;CNG;;;kWh (Gross CV);kg CO2e of N2O per unit;0,00009;"call _emissionsRefInsert('Gaseous fuels CNG','Fuels','tonnes','1_100_1002_15_1');";;
1_100_1002_15_1;Scope 1;Fuels;Gaseous fuels;LNG;;;tonnes;kgCO2e;2590,46441;"call _emissionsRefInsert('Fuels','Gaseous fuels','LNG','tonnes','kgCO2e','Scope 1','2590,46441', '1_100_1002_15_1');";;
1_100_1002_15_2;Scope 1;Fuels;Gaseous fuels;LNG;;;tonnes;kg CO2e of CO2 per unit;2585,42000;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','tonnes','1_100_1002_15_3');";;
1_100_1002_15_3;Scope 1;Fuels;Gaseous fuels;LNG;;;tonnes;kg CO2e of CH4 per unit;3,85280;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','tonnes','1_100_1002_15_4');";;
1_100_1002_15_4;Scope 1;Fuels;Gaseous fuels;LNG;;;tonnes;kg CO2e of N2O per unit;1,19161;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','litres','1_100_1002_8_1');";;
1_100_1002_8_1;Scope 1;Fuels;Gaseous fuels;LNG;;;litres;kgCO2e;1,17216;"call _emissionsRefInsert('Fuels','Gaseous fuels','LNG','litres','kgCO2e','Scope 1','1,17216', '1_100_1002_8_1');";;
1_100_1002_8_2;Scope 1;Fuels;Gaseous fuels;LNG;;;litres;kg CO2e of CO2 per unit;1,16987;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','litres','1_100_1002_8_3');";;
1_100_1002_8_3;Scope 1;Fuels;Gaseous fuels;LNG;;;litres;kg CO2e of CH4 per unit;0,00175;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','litres','1_100_1002_8_4');";;
1_100_1002_8_4;Scope 1;Fuels;Gaseous fuels;LNG;;;litres;kg CO2e of N2O per unit;0,00054;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Net CV)','1_100_1002_7_1');";;
1_100_1002_7_1;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Net CV);kgCO2e;0,20440;"call _emissionsRefInsert('Fuels','Gaseous fuels','LNG','kWh (Net CV)','kgCO2e','Scope 1','0,2044', '1_100_1002_7_1');";;
1_100_1002_7_2;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Net CV);kg CO2e of CO2 per unit;0,20399;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Net CV)','1_100_1002_7_3');";;
1_100_1002_7_3;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00031;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Net CV)','1_100_1002_7_4');";;
1_100_1002_7_4;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Gross CV)','1_100_1002_6_1');";;
1_100_1002_6_1;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Gross CV);kgCO2e;0,18449;"call _emissionsRefInsert('Fuels','Gaseous fuels','LNG','kWh (Gross CV)','kgCO2e','Scope 1','0,18449', '1_100_1002_6_1');";;
1_100_1002_6_2;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18412;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Gross CV)','1_100_1002_6_3');";;
1_100_1002_6_3;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00028;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','kWh (Gross CV)','1_100_1002_6_4');";;
1_100_1002_6_4;Scope 1;Fuels;Gaseous fuels;LNG;;;kWh (Gross CV);kg CO2e of N2O per unit;0,00009;"call _emissionsRefInsert('Gaseous fuels LNG','Fuels','tonnes','1_100_1003_15_1');";;
1_100_1003_15_1;Scope 1;Fuels;Gaseous fuels;LPG;;;tonnes;kgCO2e;2939,36095;"call _emissionsRefInsert('Fuels','Gaseous fuels','LPG','tonnes','kgCO2e','Scope 1','2939,36095', '1_100_1003_15_1');";;
1_100_1003_15_2;Scope 1;Fuels;Gaseous fuels;LPG;;;tonnes;kg CO2e of CO2 per unit;2935,18000;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','tonnes','1_100_1003_15_3');";;
1_100_1003_15_3;Scope 1;Fuels;Gaseous fuels;LPG;;;tonnes;kg CO2e of CH4 per unit;2,55360;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','tonnes','1_100_1003_15_4');";;
1_100_1003_15_4;Scope 1;Fuels;Gaseous fuels;LPG;;;tonnes;kg CO2e of N2O per unit;1,62735;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','litres','1_100_1003_8_1');";;
1_100_1003_8_1;Scope 1;Fuels;Gaseous fuels;LPG;;;litres;kgCO2e;1,55713;"call _emissionsRefInsert('Fuels','Gaseous fuels','LPG','litres','kgCO2e','Scope 1','1,55713', '1_100_1003_8_1');";;
1_100_1003_8_2;Scope 1;Fuels;Gaseous fuels;LPG;;;litres;kg CO2e of CO2 per unit;1,55491;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','litres','1_100_1003_8_3');";;
1_100_1003_8_3;Scope 1;Fuels;Gaseous fuels;LPG;;;litres;kg CO2e of CH4 per unit;0,00136;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','litres','1_100_1003_8_4');";;
1_100_1003_8_4;Scope 1;Fuels;Gaseous fuels;LPG;;;litres;kg CO2e of N2O per unit;0,00086;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Net CV)','1_100_1003_7_1');";;
1_100_1003_7_1;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Net CV);kgCO2e;0,23031;"call _emissionsRefInsert('Fuels','Gaseous fuels','LPG','kWh (Net CV)','kgCO2e','Scope 1','0,23031', '1_100_1003_7_1');";;
1_100_1003_7_2;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Net CV);kg CO2e of CO2 per unit;0,22999;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Net CV)','1_100_1003_7_3');";;
1_100_1003_7_3;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00020;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Net CV)','1_100_1003_7_4');";;
1_100_1003_7_4;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Net CV);kg CO2e of N2O per unit;0,00012;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Gross CV)','1_100_1003_6_1');";;
1_100_1003_6_1;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Gross CV);kgCO2e;0,21450;"call _emissionsRefInsert('Fuels','Gaseous fuels','LPG','kWh (Gross CV)','kgCO2e','Scope 1','0,2145', '1_100_1003_6_1');";;
1_100_1003_6_2;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,21419;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Gross CV)','1_100_1003_6_3');";;
1_100_1003_6_3;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00019;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','kWh (Gross CV)','1_100_1003_6_4');";;
1_100_1003_6_4;Scope 1;Fuels;Gaseous fuels;LPG;;;kWh (Gross CV);kg CO2e of N2O per unit;0,00012;"call _emissionsRefInsert('Gaseous fuels LPG','Fuels','tonnes','1_100_1004_15_1');";;
1_100_1004_15_1;Scope 1;Fuels;Gaseous fuels;Natural gas;;;tonnes;kgCO2e;2568,16441;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas','tonnes','kgCO2e','Scope 1','2568,16441', '1_100_1004_15_1');";;
1_100_1004_15_2;Scope 1;Fuels;Gaseous fuels;Natural gas;;;tonnes;kg CO2e of CO2 per unit;2563,12000;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','tonnes','1_100_1004_15_3');";;
1_100_1004_15_3;Scope 1;Fuels;Gaseous fuels;Natural gas;;;tonnes;kg CO2e of CH4 per unit;3,85280;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','tonnes','1_100_1004_15_4');";;
1_100_1004_15_4;Scope 1;Fuels;Gaseous fuels;Natural gas;;;tonnes;kg CO2e of N2O per unit;1,19161;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','cubic metres','1_100_1004_1_1');";;
1_100_1004_1_1;Scope 1;Fuels;Gaseous fuels;Natural gas;;;cubic metres;kgCO2e;2,04542;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas','cubic metres','kgCO2e','Scope 1','2,04542', '1_100_1004_1_1');";;
1_100_1004_1_2;Scope 1;Fuels;Gaseous fuels;Natural gas;;;cubic metres;kg CO2e of CO2 per unit;2,04140;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','cubic metres','1_100_1004_1_3');";;
1_100_1004_1_3;Scope 1;Fuels;Gaseous fuels;Natural gas;;;cubic metres;kg CO2e of CH4 per unit;0,00307;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','cubic metres','1_100_1004_1_4');";;
1_100_1004_1_4;Scope 1;Fuels;Gaseous fuels;Natural gas;;;cubic metres;kg CO2e of N2O per unit;0,00095;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Net CV)','1_100_1004_7_1');";;
1_100_1004_7_1;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Net CV);kgCO2e;0,20264;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas','kWh (Net CV)','kgCO2e','Scope 1','0,20264', '1_100_1004_7_1');";;
1_100_1004_7_2;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Net CV);kg CO2e of CO2 per unit;0,20223;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Net CV)','1_100_1004_7_3');";;
1_100_1004_7_3;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Net CV);kg CO2e of CH4 per unit;0,00031;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Net CV)','1_100_1004_7_4');";;
1_100_1004_7_4;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Gross CV)','1_100_1004_6_1');";;
